,station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP,date_int
15412,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-05-31,62.06,69.98,,5.144962,340.0,16.105968,0.0,0.0,0.0,20170531
15413,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-06-02,57.92,80.06,,5.368656,340.0,21.922012,0.0,0.0,0.0,20170602
15414,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-07-14,71.06,87.08,,6.039738,340.0,35.119958,0.0,0.0,1.72047337,20170714
15415,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-08-20,66.92,82.94,,4.921268,340.0,16.105968,0.0,0.0,0.0,20170820
15416,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-09-08,53.96,75.92,,4.250186,340.0,17.000744,0.0,0.0,0.0,20170908
17695,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-07,19.22,30.2,,20.803542,330.0,40.041226,,,0.0,20170107
17696,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-29,33.08,48.02,,7.381902,330.0,25.053728,,,0.0,20170129
17697,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-09,26.24,53.06,,21.698318,330.0,50.107456,,,0.12992133,20170209
17698,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-13,29.12,48.92,,19.461378,330.0,53.015478,,,0.0,20170213
17699,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-15,37.04,50.0,,12.526864,330.0,42.054472,,,0.20866153,20170215
17700,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-19,51.08,69.08,,8.276678,330.0,17.000744,,,0.0,20170219
17701,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-19,33.98,48.92,,13.869028,330.0,27.96175,,,0.51968532,20170319
17702,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-22,33.08,53.06,,16.553356,330.0,38.922756,,,0.0,20170322
17703,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-04-02,44.06,60.08,,9.618842,330.0,23.935258,,,0.0,20170402
17704,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-04-08,35.96,64.04,,10.961006,330.0,29.974996,,,0.0,20170408
17705,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-05-08,46.94,62.96,,10.513618,330.0,27.96175,,,0.0,20170508
17706,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-05-13,51.08,57.92,,14.092722,330.0,27.066974,,,0.38976399,20170513
17707,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-05-14,46.04,80.96,,10.737312,330.0,38.02798,,,0.0,20170514
17708,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-06-09,51.08,82.04,,7.82929,330.0,23.935258,,,0.0,20170609
17709,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-06-27,64.04,82.04,,6.934514,330.0,29.08022,,,0.0,20170627
17710,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-09,64.94,82.94,,6.263432,330.0,19.01399,,,0.0,20170709
17711,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-14,75.02,93.92,,6.263432,330.0,48.09421,,,1.29133928,20170714
17712,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-22,73.04,93.92,,8.276678,330.0,36.014734,,,0.61811057,20170722
17713,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-25,73.04,82.04,,10.513618,330.0,27.066974,,,0.0,20170725
17714,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-08,62.96,77.0,,7.605596,330.0,19.01399,,,0.16929143,20170808
17715,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-13,66.02,82.04,,7.158208,330.0,19.908766,,,0.01181103,20170813
17716,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-25,62.06,78.98,,6.039738,330.0,19.01399,,,0.0,20170825
17717,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-09-06,62.96,73.94,,8.052984,330.0,31.093466,,,0.38188997,20170906
17718,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-09-08,51.98,75.02,,5.368656,330.0,19.01399,,,0.0,20170908
22312,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-02-07,42.08,59.0,,5.144962,330.0,14.987498,,,0.25196864,20170207
22313,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-03,24.26,39.02,,12.974252,330.0,36.014734,,,0.0,20170303
22314,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-04,22.1,39.02,,9.171454,330.0,31.988242,,,0.0,20170304
22315,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-19,33.98,46.04,,9.618842,330.0,23.040482,,,0.0,20170319
22316,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-03-22,29.12,50.0,,16.329662,330.0,38.922756,,,0.0,20170322
22317,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-04-11,55.94,86.0,,7.381902,330.0,31.093466,,,0.0,20170411
22318,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-08-08,64.94,80.96,,4.921268,330.0,21.027236,,,0.0,20170808
22319,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-09-06,60.08,66.02,,2.908022,330.0,14.092722,,,0.42913409,20170906
22342,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-01-19,33.08,51.08,46.58,5.144962,330.0,16.105968,0.0,0.0,0.0,20170119
22343,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-03-20,33.08,51.98,43.16,5.144962,330.0,21.922012,0.0,0.0,0.0,20170320
22344,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-04-26,55.04,66.02,59.54,3.35541,330.0,16.105968,0.0,0.0,0.0,20170426
22345,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-05-08,37.04,62.06,52.16,8.94776,330.0,27.96175,0.0,0.0,0.0,20170508
22346,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-05,62.96,75.02,71.78,3.35541,330.0,19.01399,0.0,0.0,0.14173236,20170605
22347,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-06-28,51.08,80.96,68.72,4.47388,330.0,19.908766,0.0,0.0,0.0,20170628
22348,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-07-09,62.06,84.02,74.12,5.144962,330.0,21.027236,0.0,0.0,0.0,20170709
22349,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-02,69.08,89.96,76.46,3.35541,330.0,31.988242,0.0,0.0,0.68110273,20170802
22350,BALTIMORE WASH INTL AP,MD,39.1667,-76.6833,47.5,2017-08-25,62.06,80.06,69.98,3.579104,330.0,18.119214,0.0,0.0,0.03149608,20170825
22456,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-04,23.18,37.94,,9.171454,330.0,27.066974,,,0.0,20170204
22457,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-10,23.18,41.0,,9.842536,330.0,29.08022,,,0.0,20170210
22458,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-17,25.16,48.92,,5.816044,330.0,23.040482,,,0.0,20170217
22459,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-02-26,28.22,50.0,,8.94776,330.0,33.106712,,,0.0,20170226
22460,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-02,39.92,62.96,,14.763804,330.0,38.922756,,,0.0,20170302
22461,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-12,21.2,39.02,,7.605596,330.0,27.066974,,,0.0,20170312
22462,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-03-22,32.0,51.08,,12.974252,330.0,38.922756,,,0.0,20170322
22463,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-04-08,35.96,60.98,,10.289924,330.0,31.093466,0.0,0.0,0.0,20170408
22464,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-04-17,50.0,80.06,,8.500372,330.0,23.935258,0.0,0.0,0.0,20170417
22465,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-05-03,44.96,71.06,,7.82929,330.0,29.08022,0.0,0.0,0.0,20170503
22466,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-06-25,64.94,82.04,,4.697574,330.0,16.105968,0.0,0.0,0.0,20170625
22467,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-06-27,60.98,78.98,,6.487126,330.0,23.040482,0.0,0.0,0.0,20170627
22468,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-08-05,59.0,82.94,,8.500372,330.0,25.948504,0.0,0.0,0.0,20170805
22469,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-08-13,68.0,82.04,,4.47388,330.0,14.092722,0.0,0.0,0.0,20170813
22470,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-09-03,66.02,75.92,,6.487126,330.0,21.922012,0.0,0.0,0.0,20170903
22471,OCEAN CITY MUNI AP,MD,38.3083,-75.1239,3.7,2017-09-06,62.96,82.04,,9.395148,330.0,31.093466,0.0,0.0,1.81889862,20170906
25262,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-01-08,13.1,22.1,,18.342908,320.0,36.90951,,,0.0,20170108
25263,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-01,29.12,46.04,,1.565858,320.0,8.94776,,,0.0,20170201
25264,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-03,31.1,37.94,,8.052984,320.0,31.093466,,,0.0,20170203
25265,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-04,25.16,37.94,,9.618842,320.0,31.988242,,,0.0,20170204
25266,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-02-26,30.2,48.02,,12.974252,320.0,36.014734,,,0.0,20170226
25267,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-08,46.94,64.04,,11.1847,320.0,36.014734,,,0.0393701,20170308
25268,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-10,31.1,57.02,,17.448132,320.0,40.936002,,,0.05118113,20170310
25269,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-03-16,25.16,44.06,,12.974252,320.0,35.119958,,,0.0,20170316
25270,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-06-02,57.02,84.02,,8.052984,320.0,25.948504,,,0.0,20170602
25271,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-07-07,71.96,87.08,,8.276678,320.0,25.948504,,,0.0,20170707
25272,PATUXENT RIVER NAS,MD,38.3,-76.4167,11.9,2017-08-12,69.98,82.04,,5.368656,320.0,27.96175,,,0.83070911,20170812
30929,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-13,35.06,60.08,,9.618842,320.0,29.08022,,,0.0,20170113
30930,HAGERSTOWN WASHINGTON CO AP,MD,39.7078,-77.7297,212.8,2017-01-15,27.14,39.92,,2.460634,320.0,12.974252,,,0.0,20170115
